UN Number,Shipping Name and Description,English Shipping Name,French Shipping Name,Primary Class,Secondary Class,Packing Group,Special Provisions,6 (a) Explosive Limit and Limited Quantity Index,6 (b) Excepted Quantities,ERAP Index,Passenger Carrying Vessel Index,Road or Railway Passenger Carrying Vehicle Index
UN0345,"PROJECTILES, inert with tracer::PROJECTILES inertes avec traceur","PROJECTILES, inert with tracer",PROJECTILES inertes avec traceur,1.4,,II,,0,E0,,,
UN0346,PROJECTILES with burster or expelling charge::PROJECTILES avec charge de dispersion ou charge d’expulsion,PROJECTILES with burster or expelling charge,PROJECTILES avec charge de dispersion ou charge d’expulsion,1.2,,II,,0,E0,75,10,Forbidden
UN0347,PROJECTILES with burster or expelling charge::PROJECTILES avec charge de dispersion ou charge d’expulsion,PROJECTILES with burster or expelling charge,PROJECTILES avec charge de dispersion ou charge d’expulsion,1.4,,II,,0,E0,,10,3
UN0348,CARTRIDGES FOR WEAPONS with bursting charge::CARTOUCHES POUR ARMES avec charge d’éclatement,CARTRIDGES FOR WEAPONS with bursting charge,CARTOUCHES POUR ARMES avec charge d’éclatement,1.4,,II,,0,E0,,Forbidden,Forbidden
UN0349,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.4,,II,16; 76; 86,0,E0,,,100
UN0350,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.4,,II,16,0,E0,,10,100
UN0351,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.4,,II,16,0,E0,,10,3
UN0352,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.4,,II,16,0,E0,,10,3
UN0353,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.4,,II,16,0,E0,,10,20
UN0354,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.1,,II,16,0,E0,75,Forbidden,Forbidden
UN0355,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.2,,II,16,0,E0,75,Forbidden,Forbidden
UN0356,"ARTICLES, EXPLOSIVE, N.O.S.::OBJETS EXPLOSIFS, N.S.A.","ARTICLES, EXPLOSIVE, N.O.S.","OBJETS EXPLOSIFS, N.S.A.",1.3,,II,16,0,E0,,Forbidden,Forbidden
UN0357,"SUBSTANCES, EXPLOSIVE, N.O.S.::MATIÈRES EXPLOSIVES, N.S.A.","SUBSTANCES, EXPLOSIVE, N.O.S.","MATIÈRES EXPLOSIVES, N.S.A.",1.1,,II,16,0,E0,75,Forbidden,Forbidden
UN0358,"SUBSTANCES, EXPLOSIVE, N.O.S.::MATIÈRES EXPLOSIVES, N.S.A.","SUBSTANCES, EXPLOSIVE, N.O.S.","MATIÈRES EXPLOSIVES, N.S.A.",1.2,,II,16,0,E0,75,Forbidden,Forbidden
UN0359,"SUBSTANCES, EXPLOSIVE, N.O.S.::MATIÈRES EXPLOSIVES, N.S.A.","SUBSTANCES, EXPLOSIVE, N.O.S.","MATIÈRES EXPLOSIVES, N.S.A.",1.3,,II,16,0,E0,,Forbidden,Forbidden
UN0360,"DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting::ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES","DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting",ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES,1.1,,II,86,0,E0,5 000,100,100
UN0361,"DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting::ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES","DETONATOR ASSEMBLIES, NON-ELECTRIC for blasting",ASSEMBLAGES DE DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES,1.4,,II,86,0,E0,,100,100
UN0362,"AMMUNITION, PRACTICE::MUNITIONS D’EXERCICE","AMMUNITION, PRACTICE",MUNITIONS D’EXERCICE,1.4,,II,,0,E0,,10,20
UN0363,"AMMUNITION, PROOF::MUNITIONS POUR ESSAIS","AMMUNITION, PROOF",MUNITIONS POUR ESSAIS,1.4,,II,,0,E0,,10,20
UN0364,DETONATORS FOR AMMUNITION::DÉTONATEURS POUR MUNITIONS,DETONATORS FOR AMMUNITION,DÉTONATEURS POUR MUNITIONS,1.2,,II,,0,E0,75,10,Forbidden
UN0365,DETONATORS FOR AMMUNITION::DÉTONATEURS POUR MUNITIONS,DETONATORS FOR AMMUNITION,DÉTONATEURS POUR MUNITIONS,1.4,,II,,0,E0,,10,
UN0366,DETONATORS FOR AMMUNITION::DÉTONATEURS POUR MUNITIONS,DETONATORS FOR AMMUNITION,DÉTONATEURS POUR MUNITIONS,1.4,,II,105,0,E0,,,
UN0367,"FUZES, DETONATING::FUSÉES-DÉTONATEURS","FUZES, DETONATING",FUSÉES-DÉTONATEURS,1.4,,II,86,0,E0,,,100
UN0368,"FUZES, IGNITING::FUSÉES-ALLUMEURS","FUZES, IGNITING",FUSÉES-ALLUMEURS,1.4,,II,86,0,E0,,,100
UN0369,"WARHEADS, ROCKET with bursting charge::TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge d’éclatement","WARHEADS, ROCKET with bursting charge",TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge d’éclatement,1.1,,II,,0,E0,75,Forbidden,Forbidden
UN0370,"WARHEADS, ROCKET with burster or expelling charge::TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion","WARHEADS, ROCKET with burster or expelling charge",TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion,1.4,,II,,0,E0,,10,3
UN0371,"WARHEADS, ROCKET with burster or expelling charge::TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion","WARHEADS, ROCKET with burster or expelling charge",TÊTES MILITAIRES POUR ENGINS AUTOPROPULSÉS avec charge de dispersion ou charge d’expulsion,1.4,,II,,0,E0,,Forbidden,Forbidden
UN0372,"GRENADES, PRACTICE, hand or rifle::GRENADES D’EXERCICE à main ou à fusil","GRENADES, PRACTICE, hand or rifle",GRENADES D’EXERCICE à main ou à fusil,1.2,,II,,0,E0,75,10,Forbidden
UN0373,"SIGNAL DEVICES, HAND::ARTIFICES DE SIGNALISATION À MAIN","SIGNAL DEVICES, HAND",ARTIFICES DE SIGNALISATION À MAIN,1.4,,II,,25,E0,,,
UN0374,"SOUNDING DEVICES, EXPLOSIVE::CAPSULES DE SONDAGE EXPLOSIVES","SOUNDING DEVICES, EXPLOSIVE",CAPSULES DE SONDAGE EXPLOSIVES,1.1,,II,,0,E0,75,10,Forbidden
UN0375,"SOUNDING DEVICES, EXPLOSIVE::CAPSULES DE SONDAGE EXPLOSIVES","SOUNDING DEVICES, EXPLOSIVE",CAPSULES DE SONDAGE EXPLOSIVES,1.2,,II,,0,E0,75,10,Forbidden
UN0376,"PRIMERS, TUBULAR::AMORCES TUBULAIRES","PRIMERS, TUBULAR",AMORCES TUBULAIRES,1.4,,II,,0,E0,,,
UN0377,"PRIMERS, CAP TYPE::AMORCES À PERCUSSION","PRIMERS, CAP TYPE",AMORCES À PERCUSSION,1.1,,II,,0,E0,75,10,Forbidden
UN0378,"PRIMERS, CAP TYPE::AMORCES À PERCUSSION","PRIMERS, CAP TYPE",AMORCES À PERCUSSION,1.4,,II,,0,E0,,10,3
UN0379,"CASES, CARTRIDGE, EMPTY, WITH PRIMER::DOUILLES DE CARTOUCHES VIDES AMORCÉES","CASES, CARTRIDGE, EMPTY, WITH PRIMER",DOUILLES DE CARTOUCHES VIDES AMORCÉES,1.4,,II,,25,E0,,10,3
UN0380,"ARTICLES, PYROPHORIC::OBJETS PYROPHORIQUES","ARTICLES, PYROPHORIC",OBJETS PYROPHORIQUES,1.2,,II,,0,E0,75,Forbidden,Forbidden
UN0381,"CARTRIDGES, POWER DEVICE::CARTOUCHES POUR PYROMÉCANISMES","CARTRIDGES, POWER DEVICE",CARTOUCHES POUR PYROMÉCANISMES,1.2,,II,,25,E0,75,10,Forbidden
UN0382,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S.::COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.","COMPONENTS, EXPLOSIVE TRAIN, N.O.S.","COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.",1.2,,II,16,0,E0,75,10,Forbidden
UN0383,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S.::COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.","COMPONENTS, EXPLOSIVE TRAIN, N.O.S.","COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.",1.4,,II,16,0,E0,,10,
UN0384,"COMPONENTS, EXPLOSIVE TRAIN, N.O.S.::COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.","COMPONENTS, EXPLOSIVE TRAIN, N.O.S.","COMPOSANTS DE CHAÎNE PYROTECHNIQUE, N.S.A.",1.4,,II,16,0,E0,,,
UN0385,5-NITROBENZOTRIAZOL::NITRO-5-BENZOTRIAZOL,5-NITROBENZOTRIAZOL,NITRO-5-BENZOTRIAZOL,1.1,,II,,0,E0,75,10,Forbidden
UN0386,"TRINITROBENZENESULFONIC ACID;
or
TRINITROBENZENESULPHONIC ACID::ACIDE TRINITROBENZÈNESULFONIQUE","TRINITROBENZENESULFONIC ACID;
or
TRINITROBENZENESULPHONIC ACID",ACIDE TRINITROBENZÈNESULFONIQUE,1.1,,II,,0,E0,75,10,Forbidden
UN0387,TRINITROFLUORENONE::TRINITROFLUORÉNONE,TRINITROFLUORENONE,TRINITROFLUORÉNONE,1.1,,II,,0,E0,75,10,Forbidden
UN0388,"TNT AND HEXANITROSTILBENE MIXTURE;
TNT AND TRINITROBENZENE MIXTURE;
TRINITROTOLUENE AND HEXANITROSTILBENE MIXTURE;
or
TRINITROTOLUENE AND TRINITROBENZENE MIXTURE::TNT EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TOLITE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TRINITROTOLUÈNE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE","TNT AND HEXANITROSTILBENE MIXTURE;
TNT AND TRINITROBENZENE MIXTURE;
TRINITROTOLUENE AND HEXANITROSTILBENE MIXTURE;
or
TRINITROTOLUENE AND TRINITROBENZENE MIXTURE","TNT EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TOLITE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE;
TRINITROTOLUÈNE EN MÉLANGE AVEC DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE",1.1,,II,,0,E0,75,10,Forbidden
UN0389,"TNT MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE;
or
TRINITROTOLUENE MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE::TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE","TNT MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE;
or
TRINITROTOLUENE MIXTURE CONTAINING TRINITROBENZENE AND HEXANITROSTILBENE","TNT EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
TOLITE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE;
ou
TRINITROTOLUÈNE EN MÉLANGE AVEC DU TRINITROBENZÈNE ET DE L’HEXANITROSTILBÈNE",1.1,,II,,0,E0,75,10,Forbidden
UN0390,TRITONAL::TRITONAL,TRITONAL,TRITONAL,1.1,,II,,0,E0,75,10,Forbidden
UN0391,"CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
or
RDX AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass::CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
ou
RDX EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau","CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLONITE and OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLONITE and OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
CYCLOTRIMETHYLENETRINITRAMINE AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
HEXOGEN AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
HEXOGEN AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND CYCLOTETRAMETHYLENETETRANITRAMINE MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND HMX MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
RDX AND HMX MIXTURE, WETTED with not less than 15% water, by mass;
RDX AND OCTOGEN MIXTURE, DESENSITIZED with not less than 10% phlegmatizer, by mass;
or
RDX AND OCTOGEN MIXTURE, WETTED with not less than 15% water, by mass","CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLONITE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLONITE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
CYCLOTRIMÉTHYLÈNETRINITRAMINE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
HEXOGÈNE EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE LA CYCLOTÉTRAMÉTHYLÈNETÉTRANITRAMINE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
RDX EN MÉLANGE AVEC DE L’OCTOGÈNE, HUMIDIFIÉ avec au moins 15 % (masse) d’eau;
RDX EN MÉLANGE AVEC DU HMX, DÉSENSIBILISÉ avec au moins 10 % (masse) de flegmatisant;
ou
RDX EN MÉLANGE AVEC DU HMX, HUMIDIFIÉ avec au moins 15 % (masse) d’eau",1.1,,II,79,0,E0,75,10,Forbidden
UN0392,HEXANITROSTILBENE::HEXANITROSTILBÈNE,HEXANITROSTILBENE,HEXANITROSTILBÈNE,1.1,,II,,0,E0,75,10,Forbidden
UN0393,HEXOTONAL::HEXOTONAL,HEXOTONAL,HEXOTONAL,1.1,,II,,0,E0,75,10,Forbidden
UN0394,"STYPHNIC ACID, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
TRINITRORESORCINOL, WETTED with not less than 20% water, or mixture of alcohol and water, by mass::ACIDE STYPHNIQUE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINOL HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau","STYPHNIC ACID, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
TRINITRORESORCINOL, WETTED with not less than 20% water, or mixture of alcohol and water, by mass","ACIDE STYPHNIQUE HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau;
ou
TRINITRORÉSORCINOL HUMIDIFIÉ avec au moins 20 % (masse) d’eau ou d’un mélange d’alcool et d’eau",1.1,,II,,0,E0,75,10,Forbidden
UN0395,"ROCKET MOTORS, LIQUID FUELLED::PROPULSEURS À PROPERGOL LIQUIDE","ROCKET MOTORS, LIQUID FUELLED",PROPULSEURS À PROPERGOL LIQUIDE,1.2,,II,,0,E0,75,Forbidden,Forbidden
UN0396,"ROCKET MOTORS, LIQUID FUELLED::PROPULSEURS À PROPERGOL LIQUIDE","ROCKET MOTORS, LIQUID FUELLED",PROPULSEURS À PROPERGOL LIQUIDE,1.3,,II,,0,E0,,Forbidden,Forbidden
UN0397,"ROCKETS, LIQUID FUELLED with bursting charge::ENGINS AUTOPROPULSÉS À PROPERGOL LIQUIDE avec charge d’éclatement","ROCKETS, LIQUID FUELLED with bursting charge",ENGINS AUTOPROPULSÉS À PROPERGOL LIQUIDE avec charge d’éclatement,1.1,,II,,0,E0,75,Forbidden,Forbidden
